single strand break repair
oxidoreduction coenzyme metabolic process
nicotinamide riboside catabolic process
nucleoside phosphate metabolic process
ATP generation from ADP
water-soluble vitamin metabolic process
fat-soluble vitamin metabolic process
vitamin A metabolic process
Mo-molybdopterin cofactor biosynthetic process
porphyrin-containing compound metabolic process
porphyrin-containing compound biosynthetic process
uroporphyrinogen III biosynthetic process
protoporphyrinogen IX biosynthetic process
heme a biosynthetic process
heme b biosynthetic process
heme c biosynthetic process
porphyrin-containing compound catabolic process
sulfur compound metabolic process
regulation of sulfur utilization
regulation of phosphorus utilization
phosphate-containing compound metabolic process
nitrogen compound metabolic process
regulation of nitrogen utilization
nitric oxide biosynthetic process
zinc II ion transport
cellular metal ion homeostasis
cellular copper ion homeostasis
cellular iron ion homeostasis
response to osmotic stress
response to oxidative stress
activation of SoxR protein
response to lipid hydroperoxide
response to unfolded protein
para-aminobenzoic acid biosynthetic process
regulation of cell shape
regulation of cell size
ether lipid biosynthetic process
peptidyl-lysine modification to peptidyl-hypusine
pentose-phosphate shunt oxidative branch
pentose-phosphate shunt non-oxidative branch
fatty acid catabolic process
purine nucleobase biosynthetic process
nucleoside monophosphate metabolic process
nucleoside monophosphate biosynthetic process
nucleoside monophosphate catabolic process
nucleoside diphosphate metabolic process
nucleoside diphosphate biosynthetic process
nucleoside diphosphate catabolic process
nucleoside triphosphate metabolic process
nucleoside triphosphate biosynthetic process
nucleoside triphosphate catabolic process
purine ribonucleotide metabolic process
purine deoxyribonucleotide metabolic process
purine ribonucleotide biosynthetic process
purine deoxyribonucleotide biosynthetic process
purine ribonucleotide catabolic process
purine deoxyribonucleotide catabolic process
ribonucleoside monophosphate biosynthetic process
deoxyribonucleoside monophosphate biosynthetic process
ribonucleoside monophosphate catabolic process
deoxyribonucleoside monophosphate catabolic process
ribonucleoside monophosphate metabolic process
deoxyribonucleoside monophosphate metabolic process
ribonucleoside diphosphate metabolic process
deoxyribonucleoside diphosphate metabolic process
cyclic nucleotide metabolic process
ribonucleoside diphosphate biosynthetic process
deoxyribonucleoside diphosphate biosynthetic process
cyclic nucleotide biosynthetic process
ribonucleoside diphosphate catabolic process
deoxyribonucleoside diphosphate catabolic process
ribonucleoside triphosphate metabolic process
deoxyribonucleoside triphosphate metabolic process
ribonucleoside triphosphate biosynthetic process
deoxyribonucleoside triphosphate biosynthetic process
ribonucleoside triphosphate catabolic process
deoxyribonucleoside triphosphate catabolic process
cyclic nucleotide catabolic process
pyrimidine ribonucleotide metabolic process
pyrimidine deoxyribonucleotide metabolic process
pyrimidine ribonucleotide biosynthetic process
pyrimidine deoxyribonucleotide biosynthetic process
pyrimidine ribonucleotide catabolic process
pyrimidine deoxyribonucleotide catabolic process
thiamine diphosphate biosynthetic process
isopentenyl diphosphate biosynthetic process
colanic acid biosynthetic process
O antigen biosynthetic process
lipid A biosynthetic process
K antigen biosynthetic process
Entner-Doudoroff pathway through 6-phosphogluconate
response to temperature stimulus
cellular response to starvation
peptidoglycan-based cell wall biogenesis
phosphoenolpyruvate-dependent sugar phosphotransferase system
response to xenobiotic stimulus
response to water deprivation
response to light stimulus
gamma-aminobutyric acid metabolic process
gamma-aminobutyric acid catabolic process
detection of external stimulus
detection of abiotic stimulus
detection of light stimulus
detection of biotic stimulus
response to external stimulus
response to biotic stimulus
response to mechanical stimulus
response to abiotic stimulus
response to toxic substance
response to salt stress
indoleacetic acid metabolic process
indoleacetic acid biosynthetic process
abscisic acid metabolic process
abscisic acid biosynthetic process
jasmonic acid metabolic process
salicylic acid metabolic process
salicylic acid biosynthetic process
tropane alkaloid biosynthetic process
purine alkaloid biosynthetic process
catechol-containing compound metabolic process
catechol-containing compound biosynthetic process
flavonoid phytoalexin biosynthetic process
anthocyanin-containing compound biosynthetic process
response to endogenous stimulus
indole glucosinolate biosynthetic process
cinnamic acid biosynthetic process
cinnamic acid metabolic process
oxidative photosynthetic carbon pathway
regulation of biosynthetic process
regulation of catabolic process
regulation of signal transduction
response to extracellular stimulus
response to organic substance
response to inorganic substance
response to metal ion
anaerobic cyclohexane-1-carboxylate catabolic process
anaerobic ethylbenzene catabolic process
vitamin E biosynthetic process
cytochrome b6f complex assembly
regulation of gene expression
nickel-tetrapyrrole coenzyme metabolic process
monovalent inorganic cation transport
quaternary ammonium group transport
acidic amino acid transport
aromatic amino acid transport
basic amino acid transport
branched-chain amino acid transport
neutral amino acid transport
organic hydroxy compound transport
purine nucleoside transmembrane transport
long-chain fatty acid transport
short-chain fatty acid transport
coenzyme A metabolic process
coenzyme A biosynthetic process
coenzyme A catabolic process
nucleobase-containing small molecule interconversion
bis(5'-nucleosidyl) oligophosphate metabolic process
bis(5'-nucleosidyl) oligophosphate biosynthetic process
bis(5'-nucleosidyl) oligophosphate catabolic process
diadenosine polyphosphate metabolic process
diadenosine polyphosphate biosynthetic process
diadenosine polyphosphate catabolic process
diadenosine triphosphate metabolic process
diadenosine triphosphate biosynthetic process
diadenosine triphosphate catabolic process
diadenosine tetraphosphate metabolic process
diadenosine tetraphosphate biosynthetic process
diadenosine tetraphosphate catabolic process
guanosine tetraphosphate metabolic process
guanosine tetraphosphate biosynthetic process
guanosine tetraphosphate catabolic process
guanosine pentaphosphate metabolic process
guanosine pentaphosphate biosynthetic process
guanosine pentaphosphate catabolic process
absorption of visible light
absorption of UV light
organic acid biosynthetic process
organic acid catabolic process
O-glycan processing core 1
O-glycan processing core 2
O-glycan processing core 3
O-glycan processing core 4
single organismal cell-cell adhesion
cytidine to uridine editing
uridine to cytidine editing
negative regulation of translation
N-terminal peptidyl-aspartic acid acetylation
N-terminal peptidyl-glutamic acid acetylation
C-terminal peptidyl-aspartic acid amidation
C-terminal peptidyl-glutamic acid amidation
peptide cross-linking via S-(2-aminovinyl)-D-cysteine
protein-chromophore linkage via peptidyl-S-4-hydroxycinnamyl-L-cysteine
peptidyl-arginine hydroxylation to peptidyl-4-hydroxy-L-arginine
peptide cross-linking via 5'-(N6-L-lysine)-L-topaquinone
nucleic acid-protein covalent cross-linking
keratan sulfate biosynthetic process
peptide cross-linking via 3-(3'-L-histidyl)-L-tyrosine
peptide cross-linking via L-histidyl-L-tyrosine
peptide cross-linking via 3'-(1'-L-histidyl)-L-tyrosine
isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine
peptide cross-linking via (2R,6R)-lanthionine
peptide cross-linking via sn-(2S,6R)-lanthionine
peptide cross-linking via (2S,3S,6R)-3-methyl-lanthionine
peptide cross-linking via S-(2-aminovinyl)-3-methyl-D-cysteine
protein-phycoerythrobilin linkage via phycoerythrobilin-bis-L-cysteine
protein-phycoerythrobilin linkage via S-phycoerythrobilin-L-cysteine
C-terminal peptidyl-polyglutamic acid amidation
protein-heme linkage via 3'-L-histidine
pyrroloquinoline quinone biosynthetic process
peptide cross-linking via S-(L-isoglutamyl)-L-cysteine
peptide cross-linking via 2'-(S-L-cysteinyl)-L-histidine
peptide cross-linking via 3'-(S-L-cysteinyl)-L-tyrosine
protein-phosphoribosyl dephospho-coenzyme A linkage
isopeptide cross-linking via N-(L-isoaspartyl)-L-cysteine
isopeptide cross-linking via N-(L-isoaspartyl)-glycine
protein-chromophore linkage via peptidyl-N6-retinal-L-lysine
peptide cross-linking via L-lysinoalanine
protein-FAD linkage via S-(8alpha-FAD)-L-cysteine
protein-FAD linkage via 3'-(8alpha-FAD)-L-histidine
protein-FAD linkage via O4'-(8alpha-FAD)-L-tyrosine
protein-FAD linkage via 1'-(8alpha-FAD)-L-histidine
enzyme active site formation
protein-FMN linkage via S-(6-FMN)-L-cysteine
peptide cross-linking via L-cystine
protein-phycocyanobilin linkage via S-phycocyanobilin-L-cysteine
protein-phycobiliviolin linkage via S-phycobiliviolin-L-cysteine
protein-phycourobilin linkage via phycourobilin-bis-L-cysteine
protein-phytochromobilin linkage via S-phytochromobilin-L-cysteine
chiral amino acid racemization
C-terminal peptidyl-glutamic acid tyrosinylation
peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine
peptidyl-lysine hydroxylation to 4-hydroxy-L-lysine
peptidyl-phenylalanine bromination to L-2'-bromophenylalanine
peptidyl-phenylalanine bromination to L-3'-bromophenylalanine
peptidyl-phenylalanine bromination to L-4'-bromophenylalanine
peptidyl-proline hydroxylation to 3-hydroxy-L-proline
peptidyl-proline hydroxylation to 4-hydroxy-L-proline
peptide cross-linking via N6-(L-isoaspartyl)-L-lysine
anaerobic 2-aminobenzoate metabolic process
anaerobic benzoate metabolic process
aerobic beta-1,2,3,4,5,6-hexachlorocyclohexane metabolic process
carbon tetrachloride metabolic process
3-chloroacrylic acid metabolic process
2,4-dichlorophenoxyacetic acid metabolic process
dimethyl ether metabolic process
dimethyl sulfoxide metabolic process
dodecyl sulfate metabolic process
anaerobic ethylbenzene metabolic process
3-hydroxybenzyl alcohol metabolic process
methanesulfonic acid metabolic process
methyl fluoride metabolic process
aerobic nitrilotriacetate metabolic process
anaerobic nitrilotriacetate metabolic process
aerobic organosilicon metabolic process
anaerobic organosilicon metabolic process
pentaerythritol tetranitrate metabolic process
phenol-containing compound metabolic process
s-triazine compound metabolic process
anaerobic toluene metabolic process
anaerobic 2,4,6-trinitrotoluene metabolic process
anaerobic 1,1,1-trichloro-2,2-bis-(4-chlorophenyl)ethane metabolic process
2,4,5-trichlorophenoxyacetic acid metabolic process
peptidoglycan-protein cross-linking via N6-mureinyl-L-lysine
nonribosomal peptide biosynthetic process
regulation of metabolic process
aerobic cobalamin biosynthetic process
anaerobic cobalamin biosynthetic process
carnitine metabolic process CoA-linked
glucose 1-phosphate metabolic process
rhizobactin 1021 biosynthetic process
keto-3-deoxy-D-manno-octulosonic acid biosynthetic process
coenzyme M biosynthetic process
coenzyme M metabolic process
coenzyme B metabolic process
coenzyme B biosynthetic process
anaerobic rhamnose catabolic process
anaerobic fructose catabolic process
anaerobic gallate catabolic process
phenol-containing compound catabolic process
teichoic acid biosynthetic process
nicotinate nucleotide biosynthetic process
nicotinamide nucleotide biosynthetic process
pyridine nucleotide metabolic process
pyridine nucleotide biosynthetic process
pyridine nucleotide catabolic process
arachidonic acid metabolic process
carbon tetrachloride catabolic process
methanogenesis from carbon dioxide
disproportionation of elemental sulfur
sulfur oxidation ferric ion-dependent
removal of superoxide radicals
aromatic compound biosynthetic process
aromatic compound catabolic process
D-amino acid catabolic process
anaerobic acetylene catabolic process
phenylmercury acetate catabolic process
aldonic acid metabolic process
aerobic glycerol catabolic process
aerobic fructose catabolic process
aldaric acid metabolic process
aldaric acid biosynthetic process
aldaric acid catabolic process
anaerobic glycerol catabolic process
non-phosphorylated glucose catabolic process
toluene oxidation via 2-hydroxytoluene
toluene oxidation via 3-hydroxytoluene
toluene oxidation via 4-hydroxytoluene
toluene oxidation to catechol
catechol-containing compound catabolic process
catechol catabolic process ortho-cleavage
catechol catabolic process meta-cleavage
protocatechuate catabolic process meta-cleavage
protocatechuate catabolic process ortho-cleavage
aerobic benzoate metabolic process
organic phosphonate metabolic process
reductive tricarboxylic acid cycle
anaerobic electron transport chain
aerobic electron transport chain
glycolytic fermentation to butanediol
glycolytic fermentation to ethanol
glycolytic fermentation to propionate
anaerobic L-alanine catabolic process
anaerobic glycine catabolic process
anaerobic glutamate catabolic process
deoxyribose phosphate metabolic process
ribose phosphate metabolic process
toluene oxidation via toluene-cis-1,2-dihydrodiol
organic phosphonate catabolic process
coenzyme A-peptidyl-cysteine covalent linking
Mo-molybdopterin cofactor metabolic process
pentacyclic triterpenoid catabolic process
pentacyclic triterpenoid metabolic process
pentacyclic triterpenoid biosynthetic process
carboxylic acid metabolic process
cyanogenic glycoside biosynthetic process
L-ascorbic acid metabolic process
L-ascorbic acid biosynthetic process
L-ascorbic acid catabolic process
pyrimidine nucleobase biosynthetic process
peptidyl-D-alanine racemization via peptidyl-L-serine
peptidyl-1-thioglycine biosynthetic process internal
peptidyl-1-thioglycine biosynthetic process carboxy-terminal
protein-chromophore linkage via peptidyl-cysteine
protein-chromophore linkage via peptidyl-N6-3-dehydroretinal-L-lysine
modification-dependent protein catabolic process
charged-tRNA amino acid modification
regulation of cell morphogenesis
respiratory electron transport chain
cellular manganese ion homeostasis
regulation of cell adhesion
chondroitin sulfate metabolic process
dermatan sulfate metabolic process
chondroitin sulfate biosynthetic process
chondroitin sulfate catabolic process
dermatan sulfate biosynthetic process
dermatan sulfate catabolic process
entry into host cell
prenylated protein catabolic process
fructose 1,6-bisphosphate metabolic process
myxococcal fruiting body development
acetate derivative metabolic process
acetate derivative biosynthetic process
acetate derivative catabolic process
regulation of cellular pH
aminoglycoside antibiotic metabolic process
aminoglycoside antibiotic biosynthetic process
aminoglycoside antibiotic catabolic process
peptide antibiotic metabolic process
peptide antibiotic biosynthetic process
peptide antibiotic catabolic process
beta-lactam antibiotic metabolic process
beta-lactam antibiotic biosynthetic process
beta-lactam antibiotic catabolic process
peptide cross-linking via 3'-(3'-L-tyrosinyl)-L-tyrosine
peptide cross-linking via 3'-(O4'-L-tyrosinyl)-L-tyrosine
peptidyl-arginine dihydroxylation to peptidyl-3,4-dihydroxy-L-arginine
peptidyl-lysine dihydroxylation to 4,5-dihydroxy-L-lysine
O-glycan processing core 5
O-glycan processing core 6
O-glycan processing core 7
O-glycan processing core 8
regulation of cyclase activity
regulation of cell killing
glycine betaine metabolic process
glycine betaine biosynthetic process
peptidoglycan-based cell wall organization
regulation of protein stability
response to nutrient levels
flocculation via extracellular polymer
Mo-molybdopterin cofactor catabolic process
W-molybdopterin cofactor catabolic process
regulation of transporter activity
regulation of protein oligomerization
regulation of protein homooligomerization
regulation of monooxygenase activity
monocarboxylic acid metabolic process
regulation of homeostatic process
regulation of protein localization
regulation of cytokinetic process
isoquinoline alkaloid biosynthetic process
isoquinoline alkaloid metabolic process
regulation of peptidyl-serine phosphorylation
chlorophyll a metabolic process
chlorophyll a biosynthetic process
chlorophyll a catabolic process
CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process
nucleotide-excision repair DNA incision
cellular polysaccharide biosynthetic process
nucleoside bisphosphate metabolic process
nucleoside bisphosphate biosynthetic process
nucleoside bisphosphate catabolic process
ribonucleoside bisphosphate metabolic process
ribonucleoside bisphosphate biosynthetic process
ribonucleoside bisphosphate catabolic process
isopentenyl adenine biosynthetic process
isopentenyl adenine catabolic process
primary alcohol metabolic process
primary alcohol biosynthetic process
primary alcohol catabolic process
lipoprotein amino acid oxidation
cellular macromolecular complex assembly
cellular response to UV
nucleobase-containing compound biosynthetic process
nucleobase-containing compound catabolic process
iron ion transmembrane transport
vitamin A biosynthetic process
regulation of protein dephosphorylation
negative regulation of dephosphorylation
positive regulation of dephosphorylation
carbamoyl phosphate catabolic process
light-dependent bacteriochlorophyll biosynthetic process
light-independent bacteriochlorophyll biosynthetic process
W-molybdopterin cofactor metabolic process
W-molybdopterin cofactor biosynthetic process
GSI anchor metabolic process
GSI anchor biosynthetic process
alginic acid metabolic process
alginic acid biosynthetic process
alginic acid catabolic process
regulation of cell proliferation
cellular ketone metabolic process
aerobic gallate catabolic process
chlorinated hydrocarbon metabolic process
halogenated hydrocarbon metabolic process
cyanuric acid metabolic process
cyanuric acid catabolic process
s-triazine compound catabolic process
chlorinated hydrocarbon catabolic process
halogenated hydrocarbon catabolic process
asexual spore wall assembly
error-free postreplication DNA repair
purine nucleoside metabolic process
negative regulation of phosphorylation
positive regulation of phosphorylation
keratan sulfate metabolic process
keratan sulfate catabolic process
cyanogenic glycoside metabolic process
cyanogenic glycoside catabolic process
indole glucosinolate metabolic process
indole glucosinolate catabolic process
thiamine diphosphate metabolic process
thiamine diphosphate catabolic process
vitamin D metabolic process
vitamin E metabolic process
fat-soluble vitamin biosynthetic process
fat-soluble vitamin catabolic process
water-soluble vitamin biosynthetic process
water-soluble vitamin catabolic process
vitamin D biosynthetic process
vitamin D catabolic process
vitamin K biosynthetic process
vitamin K metabolic process
vitamin K catabolic process
regulation of membrane potential
indole-containing compound metabolic process
indole-containing compound biosynthetic process
indole-containing compound catabolic process
indoleacetic acid catabolic process
ethanolamine-containing compound metabolic process
purine nucleoside biosynthetic process
benzene-containing compound metabolic process
response to hydrogen peroxide
pteridine-containing compound metabolic process
pteridine-containing compound biosynthetic process
pteridine-containing compound catabolic process
retinoic acid metabolic process
thiamine-containing compound metabolic process
thiamine-containing compound biosynthetic process
thiamine-containing compound catabolic process
flavin-containing compound metabolic process
flavin-containing compound biosynthetic process
flavin-containing compound catabolic process
exogenous drug catabolic process
endogenous drug catabolic process
exogenous antibiotic catabolic process
endogenous antibiotic catabolic process
defense response to bacterium
hydrogen peroxide metabolic process
hydrogen peroxide catabolic process
vitamin B6 metabolic process
vitamin B6 biosynthetic process
vitamin B6 catabolic process
pyridoxal phosphate metabolic process
pyridoxal phosphate biosynthetic process
antisense RNA metabolic process
peptidoglycan-protein cross-linking via L-threonyl-pentaglycyl-murein
9-cis-retinoic acid biosynthetic process
9-cis-retinoic acid metabolic process
group A colicin transport
dolichyl monophosphate biosynthetic process
regulation of GTPase activity
cellular metabolic compound salvage
type IV pilus-dependent motility
response to cation stress
Gram-negative-bacterium-type cell wall biogenesis
regulation of protein binding
cellular alkane metabolic process
cellular alkene metabolic process
cellular alkyne metabolic process
regulation of RNA stability
regulation of mRNA stability
molybdopterin cofactor metabolic process
regulation of kinase activity
cellular amide metabolic process
cellular protein complex assembly
cellular protein complex disassembly
modification-dependent macromolecule catabolic process
dicarboxylic acid metabolic process
dicarboxylic acid catabolic process
dicarboxylic acid biosynthetic process
regulation of multi-organism process
macromolecular complex subunit organization
multi-organism carbohydrate metabolic process
multi-organism carbohydrate catabolic process
multi-organism glucan metabolic process
hemolysis in other organism
cellular lipid catabolic process
cellular polysaccharide catabolic process
cellular lipid metabolic process
cellular protein catabolic process
cellular macromolecule metabolic process
cellular carbohydrate metabolic process
cellular polysaccharide metabolic process
cellular macromolecule catabolic process
cellular protein metabolic process
glycerol ether catabolic process
sulfur compound biosynthetic process
sulfur compound catabolic process
cellular carbohydrate catabolic process
competition with other organism
avoidance of host defenses
suppression of host defenses
interspecies interaction between organisms
secondary metabolite biosynthetic process
establishment of protein localization
maintenance of protein location
extracellular polysaccharide biosynthetic process
capsule polysaccharide biosynthetic process
external encapsulating structure organization
cytochrome P450 4A1-heme linkage
farnesyl diphosphate biosynthetic process
farnesyl diphosphate metabolic process
farnesyl diphosphate catabolic process
recombination within rDNA repeats
regulation of cell differentiation
negative regulation of gluconeogenesis
positive regulation of gluconeogenesis
positive regulation of translation
negative regulation of proteolysis
positive regulation of proteolysis
negative regulation of cytolysis
positive regulation of cytolysis
positive regulation of exocytosis
negative regulation of growth
positive regulation of growth
purine deoxyribonucleoside metabolic process
purine deoxyribonucleoside biosynthetic process
purine deoxyribonucleoside catabolic process
pyrimidine deoxyribonucleoside metabolic process
pyrimidine deoxyribonucleoside biosynthetic process
pyrimidine deoxyribonucleoside catabolic process
purine ribonucleoside metabolic process
purine ribonucleoside biosynthetic process
purine ribonucleoside catabolic process
pyrimidine ribonucleoside metabolic process
pyrimidine ribonucleoside biosynthetic process
pyrimidine ribonucleoside catabolic process
pyrimidine nucleoside biosynthetic process
pyrimidine nucleoside catabolic process
heme a metabolic process
heme a catabolic process
heme c metabolic process
heme c catabolic process
aldonic acid biosynthetic process
aldonic acid catabolic process
phenol-containing compound biosynthetic process
nitric oxide metabolic process
nitric oxide catabolic process
indole phytoalexin catabolic process
indole phytoalexin metabolic process
2,4,5-trichlorophenoxyacetic acid catabolic process
salicylic acid catabolic process
anaerobic toluene catabolic process
anaerobic 2,4,6-trinitrotoluene catabolic process
cinnamic acid catabolic process
anthocyanin-containing compound metabolic process
anthocyanin-containing compound catabolic process
flavonoid phytoalexin metabolic process
flavonoid phytoalexin catabolic process
isoflavonoid phytoalexin metabolic process
isoflavonoid phytoalexin catabolic process
2,4-dichlorophenoxyacetic acid catabolic process
regulation of glucose import
abscisic acid catabolic process
amino sugar catabolic process
amino sugar biosynthetic process
teichoic acid metabolic process
K antigen metabolic process
colanic acid metabolic process
extracellular polysaccharide metabolic process
2-deoxyribose 1-phosphate metabolic process
deoxyribose phosphate biosynthetic process
deoxyribose phosphate catabolic process
deoxyribose 1,5-bisphosphate metabolic process
deoxyribose 5-phosphate metabolic process
ribose phosphate biosynthetic process
5-phosphoribose 1-diphosphate metabolic process
carboxylic acid biosynthetic process
carboxylic acid catabolic process
keto-3-deoxy-D-manno-octulosonic acid metabolic process
O antigen metabolic process
phenylmercury acetate metabolic process
D-amino acid metabolic process
non-phosphorylated glucose metabolic process
D-amino acid biosynthetic process
purine alkaloid metabolic process
tropane alkaloid metabolic process
neutral lipid biosynthetic process
neutral lipid catabolic process
membrane lipid catabolic process
membrane lipid biosynthetic process
phosphatidic acid metabolic process
para-aminobenzoic acid metabolic process
ether lipid metabolic process
isopentenyl diphosphate metabolic process
heme b metabolic process
lipid A metabolic process
rhizobactin 1021 metabolic process
nicotinamide riboside metabolic process
nicotinamide nucleotide metabolic process
nicotinate nucleotide metabolic process
protoporphyrinogen IX metabolic process
uroporphyrinogen III metabolic process
glycerol ether biosynthetic process
folic acid metabolic process
folic acid biosynthetic process
folic acid catabolic process
response to arsenic-containing substance
response to cadmium ion
response to copper ion
response to mercury ion
response to tellurium ion
protein-heme linkage via 1'-L-histidine
trisporic acid metabolic process
trisporic acid biosynthetic process
peptide cross-linking via 2-(S-L-cysteinyl)-L-phenylalanine
peptide cross-linking via 2-(S-L-cysteinyl)-D-phenylalanine
peptide cross-linking via 2-(S-L-cysteinyl)-D-allo-threonine
ketone body biosynthetic process
ketone body catabolic process
heme o metabolic process
heme O biosynthetic process
heme o catabolic process
peptide cross-linking via 4-amino-3-isothiazolidinone
peptide cross-linking via 2-amino-3-isothiazolidinone-L-serine
lauric acid metabolic process
3'-phosphoadenosine 5'-phosphosulfate metabolic process
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process
hydrogen peroxide biosynthetic process
regulation of mRNA processing
regulation of protein secretion
regulation of peptidyl-tyrosine phosphorylation
peptide cross-linking via S-[5'-(L-tryptoph-6'-yl)-L-tyrosin-3'-yl]-L-methionin-S-ium
protein-FMN linkage via S-(4a-FMN)-L-cysteine
protein-FMN linkage via 1'-(8alpha-FMN)-L-histidine
protein-FMN linkage via 3'-(8alpha-FMN)-L-histidine
thymidylate synthase biosynthetic process
detoxification of mercury ion
regulation of biological process
regulation of catalytic activity
regulation of developmental process
regulation of cellular process
peptide cross-linking via L-cysteinyl-L-selenocysteine
peptidyl-N6,N6,N6-trimethyl-lysine hydroxylation to peptidyl-N6,N6,N6-trimethyl-5-hydroxy-L-lysine
teichuronic acid biosynthetic process
teichuronic acid metabolic process
positive regulation of chemotaxis
regulation of positive chemotaxis
induction of positive chemotaxis
isopeptide cross-linking via N-(L-isoglutamyl)-glycine
dimethylallyl diphosphate biosynthetic process
dimethylallyl diphosphate metabolic process
positive regulation of transport
negative regulation of transport
constitutive protein ectodomain proteolysis
regulation of helicase activity
positive regulation of binding
negative regulation of binding
regulation of DNA binding
regulation of DNA ligation
chaperone-mediated protein complex assembly
glucose 6-phosphate metabolic process
xylulose 5-phosphate metabolic process
prosthetic group metabolic process
prosthetic group catabolic process
prosthetic group biosynthetic process
protein insertion into membrane
sequestering of metal ion
regulation of cell division
regulation of hydrolase activity
regulation of transferase activity
regulation of lyase activity
regulation of ligase activity
regulation of oxidoreductase activity
peptidoglycan-protein cross-linking via L-alanyl-pentaglycyl-murein
intraspecies interaction between organisms
response to other organism
cytolysis in other organism
cellular response to stimulus
regulation of cell cycle
response to redox state
avoidance of symbiont defenses
suppression of symbiont defenses
Type IV pili-dependent aggregation
chemotaxis in host environment
aerotaxis in host environment
energy taxis within host
movement in host environment
positive aerotaxis in host
negative aerotaxis in host
negative chemotaxis in host
positive chemotaxis in host
movement in symbiont environment
response to host defenses
alditol phosphate metabolic process
pentitol phosphate metabolic process
ribitol phosphate metabolic process
di-valent inorganic cation homeostasis
tri-valent inorganic cation homeostasis
monovalent inorganic cation homeostasis
transition metal ion homeostasis
regulation of lipase activity
regulation of biological quality
regulation of molecular function
actin polymerization-dependent cell motility
chaperone cofactor-dependent protein refolding
carbamoyl phosphate biosynthetic process
cadmium ion transmembrane transport
calcium ion transmembrane transport
pyridine nucleoside metabolic process
pyridine nucleoside catabolic process
divalent metal ion transport
global genome nucleotide-excision repair
cellular response to antibiotic
cellular response to bacteriocin
cellular response to chromate
isoquinoline alkaloid catabolic process
cellular response to acetate
cellular response to pheromone
cellular response to hydroperoxide
cellular response to superoxide
cellular response to desiccation
cellular response to pH
cellular response to radiation
cellular response to freezing
pyridine nucleoside biosynthetic process
Actinobacterium-type cell wall biogenesis
bacterial-type flagellum-dependent cell motility
bacterial-type flagellum-dependent swimming motility
bacterial-type flagellum-dependent swarming motility
extracellular polysaccharide catabolic process
cellular lactam metabolic process
cellular lactam biosynthetic process
cellular lactam catabolic process
rescue of stalled ribosome
tricarboxylic acid metabolic process
tricarboxylic acid biosynthetic process
tricarboxylic acid catabolic process
divalent inorganic cation homeostasis
trivalent inorganic cation homeostasis
divalent inorganic cation transport
trivalent inorganic cation transport
malt sugar metabolic process
malt sugar biosynthetic process
malt sugar catabolic process
50S ribosomal subunit assembly
60S ribosomal subunit assembly
30S ribosomal subunit assembly
40S ribosomal subunit assembly
cell wall mannoprotein anabolism
cell wall mannoprotein biosynthesis
cell wall mannoprotein formation
cell wall mannoprotein synthesis
very-long-chain fatty acid metabolism
urea cycle intermediate metabolism
sulfur amino acid metabolism
sulphur amino acid metabolism
sulfur amino acid anabolism
sulfur amino acid biosynthesis
sulfur amino acid formation
sulfur amino acid synthesis
sulphur amino acid biosynthesis
sulfur amino acid breakdown
